Dataset,model,npar,logLik,AIC,AICc,dAICc,AICcwt
h7_0.8_0.3,D~water_dist + shdi g0~rds_dist sigma~1 pmix~h2,7,-164.887270574553,343.775,350.775,4.308999999999969,0.0509
h7_0.8_0.3,D~late_GS + shdi g0~rds_dist sigma~1 pmix~h2,7,-165.331173752941,344.662,351.662,5.1959999999999695,0.0327
h7_0.8_0.3,D~water_dist + late_GS g0~rds_dist sigma~1 pmix~h2,7,-166.035438181125,346.071,353.071,6.605000000000018,0.0162
h9_0.7_0.2,D~water_dist g0~rds_dist sigma~1 pmix~h2,6,-254.414576319596,520.829,523.3,0,0.4207
h9_0.7_0.2,D~water_dist + shdi g0~rds_dist sigma~1 pmix~h2,7,-253.19216603338,520.384,523.778,0.4780000000000655,0.3313
h9_0.7_0.2,D~water_dist + late_GS + shdi g0~rds_dist sigma~1 pmix~h2,8,-252.044862012775,520.09,524.59,1.2900000000000773,0.2207
h9_0.7_0.2,D~late_GS + shdi g0~rds_dist sigma~1 pmix~h2,7,-256.6371389469,527.274,530.668,7.368000000000052,0.0106
h9_0.7_0.2,D~shdi g0~rds_dist sigma~1 pmix~h2,6,-258.34541271507,528.691,531.161,7.86099999999999,0.0083
h9_0.7_0.2,D~water_dist + late_GS g0~rds_dist sigma~1 pmix~h2,7,-257.403132693636,528.806,532.2,8.900000000000091,0.0049
h9_0.7_0.2,D~late_GS g0~rds_dist sigma~1 pmix~h2,6,-259.201018869999,530.402,532.873,9.573000000000093,0.0035
h9_0.7_0.2,D~1 g0~rds_dist sigma~1 pmix~h2,5,-261.803547553548,533.607,535.321,12.021000000000072,0
